"APDB_idx","AID","Molecule_CID","SID","Activity_Outcome","Target_GI","Target_GeneID","Target_Symbol","UniProtKB","Activity_Value_uM","Activity_Name","Assay_Name","Assay_Type","PubMed_ID"
"B.31",1671197,10907,144208325,"Active",55140668,1557,"CYP2C19","P33261",20.7579,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.32",1671198,10907,144208325,"Active",527178914,1559,"CYP2C9","P11712",36.9133,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.33",1671199,10907,144208325,"Active",119619719,1544,"CYP1A2","P05177",7.3652,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.34",1671201,10907,144208325,"Active",115371803,1576,"CYP3A4","P08684",32.899,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.35",1671199,6403,144207556,"Active",119619719,1544,"CYP1A2","P05177",37.7031,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.36",894,7271,17389401,"Active",31542939,3248,"HPGD","P15428",5.6234,"Potency","qHTS Assay for Inhibitors of HPGD (15-Hydroxyprostaglandin Dehydrogenase)","Confirmatory",NA
"B.37",651741,7271,17389401,"Active",20149576,4780,"NFE2L2","Q16236",42.1632,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.38",651802,7271,17389401,"Active",49066040,6097,"RORC","F1D8P6",23.7101,"Potency","qHTS assay for small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway","Confirmatory",NA
"B.39",1159555,7271,144208743,"Active",325495463,5914,"RARA","P10276",48.163,"Potency","qHTS assay to identify small molecule antagonists of the retinoic acid receptor (RAR) signaling pathway: Summary","Summary",NA
"B.40",1224841,7271,144208743,"Active",325495545,2101,"ESRRA","P11474",68.032,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library","Confirmatory",NA
"B.41",1224848,7271,144208743,"Active",325495545,2101,"ESRRA","P11474",60.6336,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library","Confirmatory",NA
"B.42",1224848,7271,144210506,"Active",325495545,2101,"ESRRA","P11474",61.1306,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library","Confirmatory",NA
"B.43",1259243,7271,144208743,"Active",124375976,367,"AR","P10275",54.0397,"Potency","qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line in the presence of 0.5 nM R1881","Confirmatory",NA
"B.44",1259247,7271,144208743,"Active",124375976,367,"AR","P10275",58.3508,"Potency","qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line in the presence of 0.5 nM R1881: Summary","Summary",NA
"B.45",1259247,7271,144210506,"Active",124375976,367,"AR","P10275",66.0073,"Potency","qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line in the presence of 0.5 nM R1881: Summary","Summary",NA
"B.46",1259401,7271,144210506,"Active",325495545,2101,"ESRRA","P11474",66.0073,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary","Summary",NA
"B.47",1259403,7271,144210506,"Active",325495545,2101,"ESRRA","P11474",61.1306,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library: Summary","Summary",NA
"B.48",1346795,7271,144208743,"Active",82393684,5241,"PGR","P06401",60.6336,"Potency","qHTS assay to identify small molecule antagonists of the progesterone receptor (PR) signaling pathway","Confirmatory",NA
"B.49",1346982,7271,144208743,"Active",325495557,8856,"NR1I2","O75469",60.6336,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.50",1347032,7271,144208743,"Active",15928762,4087,"SMAD2","Q15796",NA,NA,"TGF-beta/Smad small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.51",1347032,7271,144208743,"Active",29792115,4088,"SMAD3","P84022",NA,NA,"TGF-beta/Smad small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.52",1671199,7271,144208743,"Active",119619719,1544,"CYP1A2","P05177",22.2811,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.53",1671199,7271,144210506,"Active",119619719,1544,"CYP1A2","P05177",20.0048,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.54",884,11443,17389385,"Active",13435386,1576,"CYP3A4","P08684",15.8489,"Potency","qHTS Assay for Inhibitors and Substrates of Cytochrome P450 3A4","Confirmatory",NA
"B.55",482143,11443,103756908,"Active",313104269,8989,"TRPA1","O75762",10,"EC50","Agonist activity at human TRPA1 channel expressed in HEK293 cells assessed as increase in intracellular calcium influx","Confirmatory",20356305
"B.56",743075,11443,144209256,"Active",348019627,2099,"ESR1","G4XH65",21.8162,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway","Confirmatory",NA
"B.57",743077,11443,144209256,"Active",348019627,2099,"ESR1","G4XH65",36.6319,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary","Summary",NA
"B.58",743079,11443,144209256,"Active",348019627,2099,"ESR1","G4XH65",54.3165,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line","Confirmatory",NA
"B.59",743085,11443,144207342,"Active",51095037,196,"AHR","A0A024R9Z8",24.9565,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway","Confirmatory",NA
"B.60",743085,11443,144209256,"Active",51095037,196,"AHR","A0A024R9Z8",1.0838,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway","Confirmatory",NA
"B.61",743122,11443,144207342,"Active",51095037,196,"AHR","A0A024R9Z8",19.0773,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary","Summary",NA
"B.62",743122,11443,144209256,"Active",51095037,196,"AHR","A0A024R9Z8",8.60858,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary","Summary",NA
"B.63",743122,11443,144210480,"Active",51095037,196,"AHR","A0A024R9Z8",28.924,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary","Summary",NA
"B.64",743219,11443,144210480,"Active",20149576,4780,"NFE2L2","Q16236",37.1186,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway: Summary","Summary",NA
"B.65",1224892,11443,144207342,"Active",66775687,9970,"NR1I3","Q14994",NA,NA,"qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway: Summary","Summary",NA
"B.66",1346982,11443,144209256,"Active",325495557,8856,"NR1I2","O75469",60.9441,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.67",1671196,11443,144207342,"Active",1047837853,1565,"CYP2D6","C1ID52",40.9264,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.68",1671196,11443,144209256,"Active",1047837853,1565,"CYP2D6","C1ID52",11.222,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.69",1671197,11443,144207342,"Active",55140668,1557,"CYP2C19","P33261",36.4757,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.70",1671197,11443,144209256,"Active",55140668,1557,"CYP2C19","P33261",10.0016,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.71",1671198,11443,144207342,"Active",527178914,1559,"CYP2C9","P11712",36.4757,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.72",1671198,11443,144209256,"Active",527178914,1559,"CYP2C9","P11712",25.123,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.73",1671198,11443,144210480,"Active",527178914,1559,"CYP2C9","P11712",79.6407,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.74",1671199,11443,144207342,"Active",119619719,1544,"CYP1A2","P05177",36.4757,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.75",1671199,11443,144209256,"Active",119619719,1544,"CYP1A2","P05177",35.4872,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.76",1671201,11443,144207342,"Active",115371803,1576,"CYP3A4","P08684",5.781,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.77",1671201,11443,144209256,"Active",115371803,1576,"CYP3A4","P08684",2.8188,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.78",1224892,4944,144209166,"Active",66775687,9970,"NR1I3","Q14994",NA,NA,"qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway: Summary","Summary",NA
"B.79",1251506,4944,103579775,"Active",113037,43,"ACHE","P22303",2.3,"IC50","Inhibition of recombinant human AChE after 10 mins by Ellman assay","Confirmatory",26386602
"B.80",1251507,4944,103579775,"Active",113037,43,"ACHE","P22303",0.59,"IC50","Inhibition of recombinant human AChE after 60 mins by Ellman assay","Confirmatory",26386602
"B.81",1347395,4944,144209166,"Active",177975,43,"ACHE","P22303",2.0037,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA
"B.82",1347395,4944,144211524,"Active",177975,43,"ACHE","P22303",2.2446,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA
"B.83",1347397,4944,144209166,"Active",177975,43,"ACHE","P22303",3.1757,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay","Confirmatory",NA
"B.84",1347397,4944,144211524,"Active",177975,43,"ACHE","P22303",3.1706,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay","Confirmatory",NA
"B.85",1347398,4944,144209166,"Active",177975,43,"ACHE","P22303",0.7977,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: fluorescence cell-based qHTS assay","Confirmatory",NA
"B.86",1347398,4944,144211524,"Active",177975,43,"ACHE","P22303",1.589,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: fluorescence cell-based qHTS assay","Confirmatory",NA
"B.87",1347399,4944,144209166,"Active",177975,43,"ACHE","P22303",22.4824,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay with human liver microsomes","Confirmatory",NA
"B.88",1347399,4944,144211524,"Active",177975,43,"ACHE","P22303",22.4458,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay with human liver microsomes","Confirmatory",NA
"B.89",1671199,4944,144211524,"Active",119619719,1544,"CYP1A2","P05177",35.5742,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.90",1671199,15260,144212188,"Active",119619719,1544,"CYP1A2","P05177",17.8293,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.91",1346982,11807,144208978,"Active",325495557,8856,"NR1I2","O75469",60.882,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.92",880,8095,17389597,"Active",3290016,6002,"RGS12","O14924",NA,NA,"qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore)","Confirmatory",NA
"B.93",880,8095,17389597,"Active",33946324,2770,"GNAI1","P63096",NA,NA,"qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore)","Confirmatory",NA
"B.94",1671196,8095,144213989,"Active",1047837853,1565,"CYP2D6","C1ID52",70.9799,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.95",1671197,8095,144213989,"Active",55140668,1557,"CYP2C19","P33261",79.6407,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.96",1671199,8095,144213989,"Active",119619719,1544,"CYP1A2","P05177",25.1846,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.97",743079,7635,144209190,"Active",348019627,2099,"ESR1","G4XH65",60.4474,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line","Confirmatory",NA
"B.98",241172,7055,103463858,"Active",1746750942,1548,"CYP2A6","P11509",2.4,"IC50","Inhibitory concentration against human cytochrome P450 2A6","Confirmatory",15658857
"B.99",420671,7055,103463858,"Active",1746750942,1548,"CYP2A6","P11509",2.39883,"IC50","Inhibition of human CYP2A6","Confirmatory",19110342
"B.100",1671197,7892,144207668,"Active",55140668,1557,"CYP2C19","P33261",71.6753,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.101",1671199,7892,144207668,"Active",119619719,1544,"CYP1A2","P05177",63.8807,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.102",1671199,11210,144213560,"Active",119619719,1544,"CYP1A2","P05177",44.7853,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.103",1259381,11507,144210048,"Active",124375976,367,"AR","P10275",53.5974,"Potency","qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway in the presence of an antagonist","Confirmatory",NA
"B.104",1671199,11507,144210048,"Active",119619719,1544,"CYP1A2","P05177",34.9946,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.105",743202,7910,144210403,"Active",20149576,4780,"NFE2L2","Q16236",30.6379,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.106",1671198,7910,144210403,"Active",527178914,1559,"CYP2C9","P11712",31.7055,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.107",743035,177,144209677,"Active",124375976,367,"AR","P10275",1.8189,"Potency","qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway","Confirmatory",NA
"B.108",743042,177,144209677,"Active",124375976,367,"AR","P10275",0.3205,"Potency","qHTS assay to identify small molecule antagonists of the androgen  receptor (AR) signaling pathway using the MDA cell line","Confirmatory",NA
"B.109",743054,177,144209677,"Active",124375976,367,"AR","P10275",0.285603,"Potency","qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line: Summary","Summary",NA
"B.110",743080,177,144209677,"Active",348019627,2099,"ESR1","G4XH65",1.6061,"Potency","qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line","Confirmatory",NA
"B.111",743083,177,144209677,"Active",119597822,1588,"CYP19A1","A0A024R5S8",5.0788,"Potency","qHTS assay to identify aromatase inhibitors","Confirmatory",NA
"B.112",743091,177,144209677,"Active",348019627,2099,"ESR1","G4XH65",1.5456,"Potency","qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line: Summary","Summary",NA
"B.113",743139,177,144209677,"Active",119597822,1588,"CYP19A1","A0A024R5S8",NA,NA,"qHTS assay to identify aromatase inhibitors: Summary","Summary",NA
"B.114",1159552,177,144209677,"Active",325495463,5914,"RARA","P10276",25.4544,"Potency","qHTS assay to identify small molecule antagonists of the retinoic acid receptor (RAR) signaling pathway","Confirmatory",NA
"B.115",1224838,177,144209677,"Active",66775687,9970,"NR1I3","Q14994",35.9553,"Potency","qHTS assay to identify small molecule antagonists of the constitutive androstane receptor (CAR) signaling pathway","Confirmatory",NA
"B.116",1224841,177,144209677,"Active",325495545,2101,"ESRRA","P11474",5.0788,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library","Confirmatory",NA
"B.117",1224848,177,144209677,"Active",325495545,2101,"ESRRA","P11474",0.8049,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library","Confirmatory",NA
"B.118",1224895,177,144209677,"Active",119601739,7253,"TSHR","A0A0A0MTJ0",48.8761,"Potency","qHTS assay to identify small molecule agonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway: Summary","Summary",NA
"B.119",1259243,177,144209677,"Active",124375976,367,"AR","P10275",0.5079,"Potency","qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line in the presence of 0.5 nM R1881","Confirmatory",NA
"B.120",1259244,177,144209677,"Active",348019627,2099,"ESR1","G4XH65",0.4034,"Potency","qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line in the presence of 0.1 nM 17-beta-estradiol","Confirmatory",NA
"B.121",1259247,177,144209677,"Active",124375976,367,"AR","P10275",0.615314,"Potency","qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line in the presence of 0.5 nM R1881: Summary","Summary",NA
"B.122",1259248,177,144209677,"Active",348019627,2099,"ESR1","G4XH65",0.548399,"Potency","qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line in the presence of 0.1 nM 17-beta-estradiol: Summary","Summary",NA
"B.123",1259369,177,144209677,"Active",109731339,2737,"GLI3","P10071",0.0161,"Potency","qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway","Confirmatory",NA
"B.124",1259392,177,144209677,"Active",109731339,2737,"GLI3","P10071",0.244961,"Potency","qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary","Summary",NA
"B.125",1259401,177,144209677,"Active",325495545,2101,"ESRRA","P11474",5.92148,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary","Summary",NA
"B.126",1259403,177,144209677,"Active",325495545,2101,"ESRRA","P11474",0.80494,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library: Summary","Summary",NA
"B.127",1346556,177,178102897,"Active",116534990,8989,"TRPA1","O75762",NA,NA,"Human TRPA1 (Transient Receptor Potential channels)","Other",17970723
"B.128",1346982,177,144209677,"Active",325495557,8856,"NR1I2","O75469",4.5265,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.129",1347030,177,144209677,"Active",464921,7201,"TRHR","P34981",NA,NA,"Thyrotropin-releasing hormone receptor (TRHR) small molecule agonists: Summary","Summary",NA
"B.130",1347395,177,144209677,"Active",177975,43,"ACHE","P22303",41.778,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA
"B.131",1347397,177,144209677,"Active",177975,43,"ACHE","P22303",74.293,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay","Confirmatory",NA
"B.132",1347398,177,144209677,"Active",177975,43,"ACHE","P22303",26.3602,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: fluorescence cell-based qHTS assay","Confirmatory",NA
"B.133",1671196,177,144209677,"Active",1047837853,1565,"CYP2D6","C1ID52",8.3358,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
